Sample Index,PPO Waveform,Other Waveform,SpO2,Heart Rate
1157,1,56,99,68
1158,3,56,99,68
1159,4,56,99,68
1160,6,55,99,68
1161,8,255,99,68
1162,9,0,99,68
1163,10,0,99,68
1164,11,0,99,68
1165,11,0,99,68
1166,10,0,99,68
1167,10,0,99,68
1168,9,0,99,68
1169,9,0,99,68
1170,8,35,99,68
1171,8,34,99,68
1172,7,33,99,68
1173,7,33,99,68
1174,6,32,99,68
1175,6,32,99,68
1176,6,31,99,68
1177,6,30,99,68
1178,6,30,99,68
1179,6,29,99,68
1180,6,29,99,68
1181,6,31,99,68
1182,5,35,99,68
1183,5,44,99,68
1184,4,52,99,68
1185,4,62,99,68
1186,4,70,99,68
1187,3,75,99,68
1188,3,255,99,68
1189,2,0,99,68
1190,2,0,99,68
1191,2,0,99,68
1192,1,0,99,68
1193,1,0,99,68
1194,1,0,99,68
1195,0,0,99,68
1196,0,0,99,68
1197,0,51,99,68
1198,0,52,99,68
1199,0,52,99,68
1200,0,52,99,67
1201,0,52,99,67
1202,0,51,99,67
1203,0,51,99,67
1204,1,50,99,67
1205,2,49,99,67
1206,5,47,99,67
1207,7,45,99,67
1208,9,43,99,67
1209,11,41,99,67
1210,11,39,99,67
1211,12,38,99,67
1212,11,36,99,67
1213,11,35,99,67
1214,11,34,99,67
1215,10,255,99,67
1216,10,0,99,67
1217,9,0,99,67
1218,9,0,99,67
1219,8,0,99,67
1220,8,0,99,67
1221,7,0,99,67
1222,6,0,99,67
1223,6,0,99,67
1224,6,34,99,67
1225,6,42,99,67
1226,6,51,99,67
1227,6,62,99,67
1228,5,71,99,67
1229,5,76,99,67
1230,5,206,99,67
1231,4,78,99,67
1232,4,77,99,67
1233,3,75,99,67
1234,3,73,99,67
1235,2,71,99,67
1236,2,69,99,67
1237,1,67,99,67
1238,1,65,99,67
1239,1,62,99,67
1240,0,60,99,67
1241,0,58,99,67
1242,0,255,99,67
1243,0,0,99,67
1244,0,0,99,67
1245,0,0,99,67
1246,0,0,99,67
1247,0,0,99,67
1248,0,0,99,67
1249,0,0,99,67
1250,0,0,99,67
1251,0,47,99,67
1252,0,45,99,67
1253,1,44,99,67
1254,3,42,99,67
1255,6,40,99,67
1256,8,39,99,67
1257,10,37,99,67
1258,11,36,99,67
1259,11,35,99,67
1260,11,34,99,67
1261,11,34,99,67
1262,10,33,99,67
1263,10,32,99,67
1264,9,32,99,67
1265,9,31,99,67
1266,8,30,99,67
1267,8,30,99,67
1268,8,30,99,67
1269,7,255,99,67
1270,6,0,99,67
1271,6,0,99,67
1272,6,0,99,67
1273,6,0,99,67
1274,6,0,99,67
1275,6,0,99,67
1276,6,0,99,67
1277,5,0,99,67
1278,5,75,99,67
1279,5,73,99,67
1280,4,71,99,67
1281,4,69,99,67
1282,3,66,99,67
1283,3,64,99,67
1284,2,62,99,67
1285,2,61,99,67
1286,2,60,99,67
1287,1,59,99,67
1288,1,59,99,67
1289,1,59,99,67
1290,0,58,99,67
1291,0,57,99,67
1292,0,56,99,67
1293,0,55,99,67
1294,0,52,99,67
1295,0,50,99,67
1296,0,255,99,67
1297,0,0,99,67
1298,0,0,99,67
1299,0,0,99,67
1300,0,0,99,67
1301,0,0,99,67
1302,1,0,99,67
1303,3,0,99,67
1304,5,0,99,67
1305,7,34,99,67
1306,9,33,99,67
1307,10,32,99,67
1308,11,31,99,67
1309,10,30,99,67
1310,10,30,99,67
1311,9,29,99,67
1312,9,29,99,67
1313,8,29,99,67
1314,7,30,99,67
1315,7,34,99,67
1316,6,42,99,67
1317,5,51,99,67
1318,5,63,99,67
1319,5,72,99,67
1320,5,75,99,67
1321,5,78,99,67
1322,5,81,99,67
1323,5,255,99,67
1324,5,0,99,67
1325,5,0,99,67
1326,5,0,99,67
1327,4,0,99,67
1328,4,0,99,67
1329,4,0,99,67
1330,3,0,99,67
1331,3,0,99,67
1332,2,60,99,67
1333,2,60,99,67
1334,2,60,99,67
1335,1,60,99,67
1336,1,60,99,67
1337,1,59,99,67
1338,0,58,99,67
1339,0,56,99,67
1340,0,54,99,67
1341,0,52,99,67
1342,0,50,99,67
1343,0,50,99,67
1344,0,49,99,67
1345,0,48,99,67
1346,0,46,99,67
1347,0,45,99,67
1348,0,44,99,67
1349,0,42,99,67
1350,1,255,99,67
1351,3,0,99,67
1352,5,0,99,67
1353,8,0,99,67
1354,10,0,99,67
1355,11,0,99,67
1356,12,0,99,67
1357,12,0,99,67
1358,11,0,99,67
1359,11,40,99,67
1360,10,49,99,67
1361,10,57,99,67
1362,9,67,99,67
1363,9,75,99,67
1364,9,79,99,67
1365,8,81,99,67
1366,8,80,99,67
1367,7,80,99,67
1368,7,78,99,67
1369,7,76,99,67
1370,7,73,99,67
1371,7,71,99,67
1372,7,68,99,67
1373,7,65,99,67
1374,6,63,99,67
1375,6,61,99,67
1376,6,59,99,67
1377,6,255,99,67
